module,mean,stdev,ci95
bench.original,0.4465728155837496,0.017311768157518063,0.009795054925773617
bench.sourcery,0.00882640049985639,0.002336846309711533,0.0013221952690474024
bench.tabnine,0.2859903260835684,0.011269706852021511,0.006376436919008734
bench.local_llm,0.9852917379994324,0.025898277698151295,0.014653330048563826
